team,matches,xg_total,npxg_total,npxg_per_game,xg_per_game,shots_total,shots_on_target,shot_accuracy,xg_per_shot,shots_per_game,corners_total,corners_per_game
Arsenal,16,26.5,24.9,1.55625,1.65625,231.0,78.0,33.76623376623377,0.10779220779220779,15.4,16.8,1.12
Aston Villa,15,16.0,16.0,1.0666666666666667,1.0666666666666667,178.0,63.0,35.39325842696629,0.0898876404494382,11.866666666666667,16.8,1.12
Bournemouth,15,20.8,18.4,1.2266666666666666,1.3866666666666667,193.0,69.0,35.751295336787564,0.09533678756476684,12.866666666666667,9.6,0.64
Brentford,15,21.8,16.3,1.0866666666666667,1.4533333333333334,144.0,51.0,35.41666666666667,0.11319444444444444,9.6,21.599999999999998,1.44
Brighton,16,25.4,23.1,1.44375,1.5875,213.0,68.0,31.92488262910798,0.10845070422535212,14.2,16.2,1.0799999999999998
Burnley,16,14.5,12.9,0.80625,0.90625,138.0,51.0,36.95652173913043,0.09347826086956522,9.2,14.399999999999999,0.9599999999999999
Chelsea,16,26.9,26.1,1.63125,1.68125,225.0,80.0,35.55555555555556,0.116,15.0,13.2,0.88
Crystal Palace,15,24.3,22.0,1.4666666666666666,1.62,170.0,59.0,34.705882352941174,0.12941176470588237,11.333333333333334,21.599999999999998,1.44
Everton,16,19.5,18.8,1.175,1.21875,169.0,47.0,27.810650887573964,0.11124260355029586,11.266666666666667,16.8,1.12
Fulham,16,16.9,16.9,1.05625,1.05625,182.0,55.0,30.21978021978022,0.09285714285714285,12.133333333333333,14.399999999999999,0.9599999999999999
Leeds United,15,19.8,17.3,1.1533333333333333,1.32,181.0,52.0,28.7292817679558,0.09558011049723757,12.066666666666666,18.599999999999998,1.2399999999999998
Liverpool,16,25.9,25.2,1.575,1.61875,249.0,68.0,27.309236947791167,0.10120481927710843,16.6,18.0,1.2
Man City,15,29.1,28.3,1.8866666666666667,1.9400000000000002,215.0,76.0,35.348837209302324,0.1316279069767442,14.333333333333334,12.6,0.84
Man United,15,26.8,23.8,1.5866666666666667,1.7866666666666666,237.0,75.0,31.645569620253166,0.10042194092827005,15.8,22.8,1.52
Newcastle,15,20.6,18.3,1.22,1.3733333333333335,186.0,62.0,33.33333333333333,0.09838709677419355,12.4,15.6,1.04
Nott'm Forest,15,17.2,16.4,1.0933333333333333,1.1466666666666667,181.0,57.0,31.491712707182316,0.09060773480662983,12.066666666666666,15.6,1.04
Sunderland,15,13.1,11.5,0.7666666666666667,0.8733333333333333,142.0,42.0,29.577464788732392,0.08098591549295775,9.466666666666667,19.8,1.32
Tottenham,15,14.8,14.8,0.9866666666666667,0.9866666666666667,147.0,50.0,34.01360544217687,0.10068027210884355,9.8,13.799999999999999,0.9199999999999999
West Ham,15,15.3,14.5,0.9666666666666667,1.02,151.0,52.0,34.437086092715234,0.09602649006622517,10.066666666666666,17.4,1.16
Wolves,16,13.6,12.8,0.8,0.85,137.0,44.0,32.11678832116788,0.09343065693430658,9.133333333333333,14.399999999999999,0.9599999999999999
