team,matches,xg_for,xg_against,npxg_for,npxg_against,xg_per_game,npxg_per_game
Arsenal,16,1.56,0,1.326,0.0,0.0975,0.082875
Aston Villa,15,1.06,0,0.901,0.0,0.07066666666666667,0.06006666666666667
Bournemouth,15,1.23,0,1.0454999999999999,0.0,0.082,0.0697
Brentford,15,1.09,0,0.9265,0.0,0.07266666666666667,0.061766666666666664
Brighton,16,1.44,0,1.224,0.0,0.09,0.0765
Burnley,16,0.81,0,0.6885,0.0,0.050625,0.04303125
Chelsea,16,1.63,0,1.3855,0.0,0.101875,0.08659375
Crystal Palace,15,1.47,0,1.2495,0.0,0.098,0.0833
Everton,16,1.17,0,0.9944999999999999,0.0,0.073125,0.062156249999999996
Fulham,16,1.06,0,0.901,0.0,0.06625,0.0563125
Leeds United,15,1.15,0,0.9774999999999999,0.0,0.07666666666666666,0.06516666666666666
Liverpool,16,1.58,0,1.343,0.0,0.09875,0.0839375
Man City,15,1.89,0,1.6064999999999998,0.0,0.126,0.10709999999999999
Manchester Utd,15,1.59,0,1.3515,0.0,0.10600000000000001,0.0901
Newcastle Utd,15,1.22,0,1.037,0.0,0.08133333333333333,0.06913333333333332
Nott'ham Forest,15,1.1,0,0.935,0.0,0.07333333333333333,0.06233333333333334
Sunderland,15,0.76,0,0.646,0.0,0.050666666666666665,0.04306666666666667
Tottenham,15,0.99,0,0.8415,0.0,0.066,0.056100000000000004
West Ham,15,0.97,0,0.8245,0.0,0.06466666666666666,0.05496666666666667
Wolves,16,0.8,0,0.68,0.0,0.05,0.0425
