match,bet,your_prob,market_odds,market_prob,edge,confidence,bet_size,potential_profit,date_generated
Sunderland vs Newcastle,Home Win,0.5349843543743933,3.35,0.29850746268656714,0.23647689168782615,MEDIUM-HIGH,20.0,47.0,2025-12-14 04:20
Nott'm Forest vs Tottenham,Away Win,0.5354793315112368,2.75,0.36363636363636365,0.1718429678748732,MEDIUM-HIGH,20.0,35.0,2025-12-14 04:20
Newcastle vs Chelsea,Home Win,0.596664137534543,2.4,0.4166666666666667,0.17999747086787626,MEDIUM-HIGH,20.0,28.0,2025-12-14 04:20
Bournemouth vs Burnley,Home Win,0.9073763294716305,1.48,0.6756756756756757,0.23170065379595484,HIGH,20.0,9.6,2025-12-14 04:20
Tottenham vs Liverpool,Away Win,0.7562235440359018,2.02,0.49504950495049505,0.2611740390854067,HIGH,20.0,20.4,2025-12-14 04:20
Aston Villa vs Man United,Away Win,0.7229449115294931,3.35,0.29850746268656714,0.424437448842926,HIGH,20.0,47.0,2025-12-14 04:20
Fulham vs Nott'm Forest,Home Win,0.8031250112685095,2.2,0.45454545454545453,0.348579556723055,HIGH,20.0,24.000000000000004,2025-12-14 04:20
Man United vs Newcastle,Away Win,0.5355346472230622,3.05,0.3278688524590164,0.20766579476404579,MEDIUM-HIGH,20.0,41.0,2025-12-14 04:20
Brentford vs Bournemouth,Home Win,0.8250298599811492,2.15,0.46511627906976744,0.35991358091138176,HIGH,20.0,23.0,2025-12-14 04:20
Burnley vs Everton,Away Win,0.815594606094023,1.88,0.5319148936170213,0.28367971247700174,HIGH,20.0,17.599999999999998,2025-12-14 04:20
West Ham vs Fulham,Home Win,0.6280601629847541,3.0,0.3333333333333333,0.2947268296514208,HIGH,20.0,40.0,2025-12-14 04:20
Sunderland vs Leeds United,Home Win,0.5426408380731446,2.5,0.4,0.14264083807314454,MEDIUM-HIGH,20.0,30.0,2025-12-14 04:20
Crystal Palace vs Tottenham,Away Win,0.5414888717324736,3.5,0.2857142857142857,0.2557745860181879,MEDIUM-HIGH,20.0,50.0,2025-12-14 04:20
